[13:18:38] : REQUEST MEAS. ON
[13:18:39] : REQUEST MEAS. OFF
[13:18:53] : REQUEST MEAS. ON
[13:18:54] : REQUEST MEAS. OFF
[13:19:08] : REQUEST MEAS. ON
[13:19:09] : REQUEST MEAS. OFF
[13:19:22] : REQUEST MEAS. ON
[13:19:23] : REQUEST MEAS. OFF
[13:19:44] : REQUEST ZEROSET ON
[13:19:45] : REQUEST ZEROSET OFF
[13:20:00] : REQUEST ZEROSET ON
[13:20:01] : REQUEST ZEROSET OFF
[13:20:15] : REQUEST ZEROSET ON
[13:20:16] : REQUEST ZEROSET OFF
[13:20:32] : REQUEST ZEROSET ON
[13:20:34] : REQUEST ZEROSET OFF
[13:20:47] : REQUEST ZEROSET ON
[13:20:48] : REQUEST ZEROSET OFF
[13:21:01] : REQUEST ZEROSET ON
[13:21:02] : REQUEST ZEROSET OFF
[13:21:17] : REQUEST MEAS. ON
[13:21:18] : REQUEST MEAS. OFF
[13:21:30] : REQUEST MEAS. ON
[13:21:31] : REQUEST MEAS. OFF
[13:21:44] : REQUEST MEAS. ON
[13:21:45] : REQUEST MEAS. OFF
[13:21:57] : REQUEST MEAS. ON
[13:21:58] : REQUEST MEAS. OFF
[13:22:11] : REQUEST MEAS. ON
[13:22:12] : REQUEST MEAS. OFF
[13:22:24] : REQUEST MEAS. ON
[13:22:25] : REQUEST MEAS. OFF
[13:22:38] : REQUEST MEAS. ON
[13:22:39] : REQUEST MEAS. OFF
[13:22:51] : REQUEST MEAS. ON
[13:22:52] : REQUEST MEAS. OFF
[13:23:05] : REQUEST MEAS. ON
[13:23:06] : REQUEST MEAS. OFF
[13:23:19] : REQUEST MEAS. ON
[13:23:20] : REQUEST MEAS. OFF
[13:23:32] : REQUEST MEAS. ON
[13:23:33] : REQUEST MEAS. OFF
[13:23:46] : REQUEST MEAS. ON
[13:23:47] : REQUEST MEAS. OFF
[13:23:59] : REQUEST MEAS. ON
[13:24:00] : REQUEST MEAS. OFF
[13:24:13] : REQUEST MEAS. ON
[13:24:14] : REQUEST MEAS. OFF
[13:24:26] : REQUEST MEAS. ON
[13:24:27] : REQUEST MEAS. OFF
[13:24:39] : REQUEST MEAS. ON
[13:24:40] : REQUEST MEAS. OFF
[13:24:53] : REQUEST MEAS. ON
[13:24:54] : REQUEST MEAS. OFF
[13:25:06] : REQUEST MEAS. ON
[13:25:07] : REQUEST MEAS. OFF
[13:25:20] : REQUEST MEAS. ON
[13:25:21] : REQUEST MEAS. OFF
[13:25:33] : REQUEST MEAS. ON
[13:25:34] : REQUEST MEAS. OFF
[13:25:47] : REQUEST MEAS. ON
[13:25:48] : REQUEST MEAS. OFF
[13:26:00] : REQUEST MEAS. ON
[13:26:01] : REQUEST MEAS. OFF
[13:26:14] : REQUEST MEAS. ON
[13:26:15] : REQUEST MEAS. OFF
[13:26:27] : REQUEST MEAS. ON
[13:26:28] : REQUEST MEAS. OFF
[13:26:41] : REQUEST MEAS. ON
[13:26:42] : REQUEST MEAS. OFF
[13:26:54] : REQUEST MEAS. ON
[13:26:55] : REQUEST MEAS. OFF
[13:27:07] : REQUEST MEAS. ON
[13:27:08] : REQUEST MEAS. OFF
[13:27:21] : REQUEST MEAS. ON
[13:27:22] : REQUEST MEAS. OFF
[13:27:34] : REQUEST MEAS. ON
[13:27:35] : REQUEST MEAS. OFF
[13:27:48] : REQUEST MEAS. ON
[13:27:49] : REQUEST MEAS. OFF
[13:31:11] : REQUEST MEAS. ON
[13:31:13] : REQUEST MEAS. OFF
[13:31:55] : REQUEST MEAS. ON
[13:31:56] : REQUEST MEAS. OFF
[13:32:09] : REQUEST MEAS. ON
[13:32:10] : REQUEST MEAS. OFF
[13:32:23] : REQUEST MEAS. ON
[13:32:24] : REQUEST MEAS. OFF
[13:32:37] : REQUEST MEAS. ON
[13:32:38] : REQUEST MEAS. OFF
[13:32:51] : REQUEST MEAS. ON
[13:32:52] : REQUEST MEAS. OFF
[13:33:05] : REQUEST MEAS. ON
[13:33:07] : REQUEST MEAS. OFF
[13:33:20] : REQUEST MEAS. ON
[13:33:21] : REQUEST MEAS. OFF
[13:33:33] : REQUEST MEAS. ON
[13:33:34] : REQUEST MEAS. OFF
[13:33:46] : REQUEST MEAS. ON
[13:33:47] : REQUEST MEAS. OFF
[13:34:00] : REQUEST MEAS. ON
[13:34:01] : REQUEST MEAS. OFF
[13:34:14] : REQUEST MEAS. ON
[13:34:15] : REQUEST MEAS. OFF
[13:34:27] : REQUEST MEAS. ON
[13:34:28] : REQUEST MEAS. OFF
[13:34:41] : REQUEST MEAS. ON
[13:34:42] : REQUEST MEAS. OFF
[13:34:54] : REQUEST MEAS. ON
[13:34:55] : REQUEST MEAS. OFF
[13:35:08] : REQUEST MEAS. ON
[13:35:09] : REQUEST MEAS. OFF
[13:35:21] : REQUEST MEAS. ON
[13:35:22] : REQUEST MEAS. OFF
[13:35:35] : REQUEST MEAS. ON
[13:35:36] : REQUEST MEAS. OFF
[13:35:48] : REQUEST MEAS. ON
[13:35:49] : REQUEST MEAS. OFF
[13:36:02] : REQUEST MEAS. ON
[13:36:03] : REQUEST MEAS. OFF
[13:36:15] : REQUEST MEAS. ON
[13:36:16] : REQUEST MEAS. OFF
[13:36:28] : REQUEST MEAS. ON
[13:36:29] : REQUEST MEAS. OFF
[13:36:42] : REQUEST MEAS. ON
[13:36:43] : REQUEST MEAS. OFF
[13:36:56] : REQUEST MEAS. ON
[13:36:57] : REQUEST MEAS. OFF
[13:37:09] : REQUEST MEAS. ON
[13:37:10] : REQUEST MEAS. OFF
[13:37:23] : REQUEST MEAS. ON
[13:37:24] : REQUEST MEAS. OFF
[13:37:36] : REQUEST MEAS. ON
[13:37:37] : REQUEST MEAS. OFF
[13:37:50] : REQUEST MEAS. ON
[13:37:51] : REQUEST MEAS. OFF
[13:38:03] : REQUEST MEAS. ON
[13:38:04] : REQUEST MEAS. OFF
[13:38:17] : REQUEST MEAS. ON
[13:38:18] : REQUEST MEAS. OFF
[13:38:30] : REQUEST MEAS. ON
[13:38:31] : REQUEST MEAS. OFF
[13:38:44] : REQUEST MEAS. ON
[13:38:45] : REQUEST MEAS. OFF
[13:38:57] : REQUEST MEAS. ON
[13:38:58] : REQUEST MEAS. OFF
[13:39:11] : REQUEST MEAS. ON
[13:39:12] : REQUEST MEAS. OFF
[13:39:24] : REQUEST MEAS. ON
[13:39:25] : REQUEST MEAS. OFF
[13:39:37] : REQUEST MEAS. ON
[13:39:38] : REQUEST MEAS. OFF
[13:42:38] : REQUEST MEAS. ON
[13:42:39] : REQUEST MEAS. OFF
[13:42:53] : REQUEST MEAS. ON
[13:42:54] : REQUEST MEAS. OFF
[13:43:07] : REQUEST MEAS. ON
[13:43:08] : REQUEST MEAS. OFF
[13:43:25] : REQUEST MEAS. ON
[13:43:26] : REQUEST MEAS. OFF
[13:43:49] : REQUEST MEAS. ON
[13:43:50] : REQUEST MEAS. OFF
[13:44:05] : REQUEST MEAS. ON
[13:44:06] : REQUEST MEAS. OFF
[13:44:27] : REQUEST MEAS. ON
[13:44:28] : REQUEST MEAS. OFF
[13:44:52] : REQUEST MEAS. ON
[13:44:54] : REQUEST MEAS. OFF
[13:45:12] : REQUEST MEAS. ON
[13:45:13] : REQUEST MEAS. OFF
[13:45:39] : REQUEST MEAS. ON
[13:45:40] : REQUEST MEAS. OFF
[13:46:31] : REQUEST MEAS. ON
[13:46:32] : REQUEST MEAS. OFF
[13:46:55] : REQUEST MEAS. ON
[13:46:56] : REQUEST MEAS. OFF
[13:47:14] : REQUEST MEAS. ON
[13:47:15] : REQUEST MEAS. OFF
[13:47:41] : REQUEST MEAS. ON
[13:47:42] : REQUEST MEAS. OFF
[13:47:54] : REQUEST MEAS. ON
[13:47:56] : REQUEST MEAS. OFF
[13:48:08] : REQUEST MEAS. ON
[13:48:09] : REQUEST MEAS. OFF
[13:48:20] : REQUEST MEAS. ON
[13:48:22] : REQUEST MEAS. OFF
[13:48:35] : REQUEST MEAS. ON
[13:48:36] : REQUEST MEAS. OFF
[13:48:48] : REQUEST MEAS. ON
[13:48:49] : REQUEST MEAS. OFF
[13:49:02] : REQUEST MEAS. ON
[13:49:03] : REQUEST MEAS. OFF
[13:49:15] : REQUEST MEAS. ON
[13:49:16] : REQUEST MEAS. OFF
[13:49:29] : REQUEST MEAS. ON
[13:49:30] : REQUEST MEAS. OFF
[13:49:41] : REQUEST MEAS. ON
[13:49:43] : REQUEST MEAS. OFF
[13:49:54] : REQUEST MEAS. ON
[13:49:56] : REQUEST MEAS. OFF
[13:50:09] : REQUEST MEAS. ON
[13:50:10] : REQUEST MEAS. OFF
[13:50:22] : REQUEST MEAS. ON
[13:50:23] : REQUEST MEAS. OFF
[13:50:35] : REQUEST MEAS. ON
[13:50:37] : REQUEST MEAS. OFF
[13:50:48] : REQUEST MEAS. ON
[13:50:50] : REQUEST MEAS. OFF
[13:51:01] : REQUEST MEAS. ON
[13:51:03] : REQUEST MEAS. OFF
[13:51:14] : REQUEST MEAS. ON
[13:51:16] : REQUEST MEAS. OFF
[13:51:28] : REQUEST MEAS. ON
[13:51:30] : REQUEST MEAS. OFF
[13:51:42] : REQUEST MEAS. ON
[13:51:43] : REQUEST MEAS. OFF
[13:51:55] : REQUEST MEAS. ON
[13:51:56] : REQUEST MEAS. OFF
[13:52:09] : REQUEST MEAS. ON
[13:52:10] : REQUEST MEAS. OFF
[13:52:21] : REQUEST MEAS. ON
[13:52:23] : REQUEST MEAS. OFF
[13:52:35] : REQUEST MEAS. ON
[13:52:37] : REQUEST MEAS. OFF
[13:52:49] : REQUEST MEAS. ON
[13:52:50] : REQUEST MEAS. OFF
[13:53:02] : REQUEST MEAS. ON
[13:53:03] : REQUEST MEAS. OFF
[13:53:15] : REQUEST MEAS. ON
[13:53:17] : REQUEST MEAS. OFF
[13:53:29] : REQUEST MEAS. ON
[13:53:30] : REQUEST MEAS. OFF
[13:53:43] : REQUEST MEAS. ON
[13:53:44] : REQUEST MEAS. OFF
[13:53:56] : REQUEST MEAS. ON
[13:53:57] : REQUEST MEAS. OFF
[13:54:09] : REQUEST MEAS. ON
[13:54:11] : REQUEST MEAS. OFF
[13:54:22] : REQUEST MEAS. ON
[13:54:24] : REQUEST MEAS. OFF
[13:54:36] : REQUEST MEAS. ON
[13:54:37] : REQUEST MEAS. OFF
[13:54:49] : REQUEST MEAS. ON
[13:54:50] : REQUEST MEAS. OFF
[13:55:03] : REQUEST MEAS. ON
[13:55:04] : REQUEST MEAS. OFF
[13:55:16] : REQUEST MEAS. ON
[13:55:17] : REQUEST MEAS. OFF
[13:55:30] : REQUEST MEAS. ON
[13:55:31] : REQUEST MEAS. OFF
[13:55:42] : REQUEST MEAS. ON
[13:55:44] : REQUEST MEAS. OFF
