[11:51:44] : REQUEST MEAS. ON
[11:51:45] : REQUEST MEAS. OFF
[11:51:59] : REQUEST MEAS. ON
[11:52:00] : REQUEST MEAS. OFF
[11:52:13] : REQUEST MEAS. ON
[11:52:14] : REQUEST MEAS. OFF
[11:52:28] : REQUEST MEAS. ON
[11:52:29] : REQUEST MEAS. OFF
[11:52:42] : REQUEST MEAS. ON
[11:52:43] : REQUEST MEAS. OFF
[11:52:57] : REQUEST MEAS. ON
[11:52:58] : REQUEST MEAS. OFF
[11:53:11] : REQUEST MEAS. ON
[11:53:12] : REQUEST MEAS. OFF
[11:53:26] : REQUEST MEAS. ON
[11:53:27] : REQUEST MEAS. OFF
[11:53:40] : REQUEST MEAS. ON
[11:53:41] : REQUEST MEAS. OFF
[11:53:55] : REQUEST MEAS. ON
[11:53:56] : REQUEST MEAS. OFF
[11:54:09] : REQUEST MEAS. ON
[11:54:10] : REQUEST MEAS. OFF
[11:54:24] : REQUEST MEAS. ON
[11:54:25] : REQUEST MEAS. OFF
[11:54:38] : REQUEST MEAS. ON
[11:54:39] : REQUEST MEAS. OFF
[11:54:53] : REQUEST MEAS. ON
[11:54:54] : REQUEST MEAS. OFF
[11:55:07] : REQUEST MEAS. ON
[11:55:08] : REQUEST MEAS. OFF
[11:55:22] : REQUEST MEAS. ON
[11:55:23] : REQUEST MEAS. OFF
[11:55:36] : REQUEST MEAS. ON
[11:55:37] : REQUEST MEAS. OFF
[11:55:51] : REQUEST MEAS. ON
[11:55:52] : REQUEST MEAS. OFF
[11:56:05] : REQUEST MEAS. ON
[11:56:06] : REQUEST MEAS. OFF
[11:56:20] : REQUEST MEAS. ON
[11:56:21] : REQUEST MEAS. OFF
[11:56:50] : REQUEST MEAS. ON
[11:56:51] : REQUEST MEAS. OFF
[11:57:05] : REQUEST MEAS. ON
[11:57:06] : REQUEST MEAS. OFF
[11:57:19] : REQUEST MEAS. ON
[11:57:20] : REQUEST MEAS. OFF
[11:57:34] : REQUEST MEAS. ON
[11:57:35] : REQUEST MEAS. OFF
[11:57:48] : REQUEST MEAS. ON
[11:57:49] : REQUEST MEAS. OFF
[11:58:03] : REQUEST MEAS. ON
[11:58:04] : REQUEST MEAS. OFF
[11:58:17] : REQUEST MEAS. ON
[11:58:18] : REQUEST MEAS. OFF
[11:58:32] : REQUEST MEAS. ON
[11:58:33] : REQUEST MEAS. OFF
[11:58:46] : REQUEST MEAS. ON
[11:58:47] : REQUEST MEAS. OFF
[11:59:01] : REQUEST MEAS. ON
[11:59:02] : REQUEST MEAS. OFF
[11:59:15] : REQUEST MEAS. ON
[11:59:16] : REQUEST MEAS. OFF
[11:59:30] : REQUEST MEAS. ON
[11:59:31] : REQUEST MEAS. OFF
[11:59:44] : REQUEST MEAS. ON
[11:59:45] : REQUEST MEAS. OFF
[11:59:59] : REQUEST MEAS. ON
[12:00:00] : REQUEST MEAS. OFF
[12:00:13] : REQUEST MEAS. ON
[12:00:14] : REQUEST MEAS. OFF
[12:00:27] : REQUEST MEAS. ON
[12:00:28] : REQUEST MEAS. OFF
[12:00:42] : REQUEST MEAS. ON
[12:00:43] : REQUEST MEAS. OFF
[12:00:56] : REQUEST MEAS. ON
[12:00:57] : REQUEST MEAS. OFF
[12:01:11] : REQUEST MEAS. ON
[12:01:12] : REQUEST MEAS. OFF
[12:01:25] : REQUEST MEAS. ON
[12:01:26] : REQUEST MEAS. OFF
[12:01:40] : REQUEST MEAS. ON
[12:01:41] : REQUEST MEAS. OFF
[12:01:54] : REQUEST MEAS. ON
[12:01:55] : REQUEST MEAS. OFF
[12:02:38] : REQUEST MEAS. ON
[12:02:39] : REQUEST MEAS. OFF
[12:02:52] : REQUEST MEAS. ON
[12:02:53] : REQUEST MEAS. OFF
[12:03:07] : REQUEST MEAS. ON
[12:03:08] : REQUEST MEAS. OFF
[12:03:21] : REQUEST MEAS. ON
[12:03:22] : REQUEST MEAS. OFF
[12:03:36] : REQUEST MEAS. ON
[12:03:37] : REQUEST MEAS. OFF
[12:03:50] : REQUEST MEAS. ON
[12:03:51] : REQUEST MEAS. OFF
[12:04:05] : REQUEST MEAS. ON
[12:04:06] : REQUEST MEAS. OFF
[12:04:19] : REQUEST MEAS. ON
[12:04:20] : REQUEST MEAS. OFF
[12:04:34] : REQUEST MEAS. ON
[12:04:35] : REQUEST MEAS. OFF
[12:08:43] : REQUEST MEAS. ON
[12:08:44] : REQUEST MEAS. OFF
[12:08:58] : REQUEST MEAS. ON
[12:08:59] : REQUEST MEAS. OFF
[12:09:12] : REQUEST MEAS. ON
[12:09:13] : REQUEST MEAS. OFF
[12:09:27] : REQUEST MEAS. ON
[12:09:28] : REQUEST MEAS. OFF
[12:09:41] : REQUEST MEAS. ON
[12:09:42] : REQUEST MEAS. OFF
[12:09:56] : REQUEST MEAS. ON
[12:09:57] : REQUEST MEAS. OFF
[12:10:10] : REQUEST MEAS. ON
[12:10:11] : REQUEST MEAS. OFF
[12:10:25] : REQUEST MEAS. ON
[12:10:26] : REQUEST MEAS. OFF
[12:10:39] : REQUEST MEAS. ON
[12:10:40] : REQUEST MEAS. OFF
[12:10:58] : REQUEST MEAS. ON
[12:10:59] : REQUEST MEAS. OFF
[12:11:13] : REQUEST MEAS. ON
[12:11:14] : REQUEST MEAS. OFF
[12:11:27] : REQUEST MEAS. ON
[12:11:28] : REQUEST MEAS. OFF
[12:11:42] : REQUEST MEAS. ON
[12:11:43] : REQUEST MEAS. OFF
[12:11:56] : REQUEST MEAS. ON
[12:11:57] : REQUEST MEAS. OFF
[12:12:11] : REQUEST MEAS. ON
[12:12:12] : REQUEST MEAS. OFF
[12:12:25] : REQUEST MEAS. ON
[12:12:26] : REQUEST MEAS. OFF
[12:12:40] : REQUEST MEAS. ON
[12:12:41] : REQUEST MEAS. OFF
[12:12:54] : REQUEST MEAS. ON
[12:12:55] : REQUEST MEAS. OFF
[12:13:09] : REQUEST MEAS. ON
[12:13:10] : REQUEST MEAS. OFF
[12:13:23] : REQUEST MEAS. ON
[12:13:24] : REQUEST MEAS. OFF
[12:13:38] : REQUEST MEAS. ON
[12:13:39] : REQUEST MEAS. OFF
[12:13:52] : REQUEST MEAS. ON
[12:13:53] : REQUEST MEAS. OFF
[12:14:07] : REQUEST MEAS. ON
[12:14:08] : REQUEST MEAS. OFF
[12:14:21] : REQUEST MEAS. ON
[12:14:22] : REQUEST MEAS. OFF
[12:14:36] : REQUEST MEAS. ON
[12:14:37] : REQUEST MEAS. OFF
[12:14:50] : REQUEST MEAS. ON
[12:14:51] : REQUEST MEAS. OFF
[12:15:04] : REQUEST MEAS. ON
[12:15:05] : REQUEST MEAS. OFF
[12:15:19] : REQUEST MEAS. ON
[12:15:20] : REQUEST MEAS. OFF
[12:15:33] : REQUEST MEAS. ON
[12:15:34] : REQUEST MEAS. OFF
[12:15:48] : REQUEST MEAS. ON
[12:15:49] : REQUEST MEAS. OFF
[12:16:02] : REQUEST MEAS. ON
[12:16:03] : REQUEST MEAS. OFF
[12:16:17] : REQUEST MEAS. ON
[12:16:18] : REQUEST MEAS. OFF
[12:16:31] : REQUEST MEAS. ON
[12:16:32] : REQUEST MEAS. OFF
[12:16:46] : REQUEST MEAS. ON
[12:16:47] : REQUEST MEAS. OFF
[12:17:00] : REQUEST MEAS. ON
[12:17:01] : REQUEST MEAS. OFF
[12:17:15] : REQUEST MEAS. ON
